Project ID,Project Name,Project Type,Location,Start Date,End Date,Project Status,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Budget,Actual Cost,Progress,Depends_On_Task,Complexity_Score,Estimated_Hours,Resource_Role,Bug_Density,Scope_Change_Frequency,Task_Due_Date,Risk_Score,Severity
P009,Highway Reconstruction Project 009,Other,Ohio,27/04/2024,26/05/2025,On Hold,Low,T003,Task 003 of Highway Reconstruction Project 009,Pending,Charlie,26,1106,0,0.97,T002,5,33,Developer,3.67,0,13/05/2025,0.65,High
P010,Airport Expansion Project 010,Other,New Jersey,14/02/2024,15/06/2024,On Track,High,T001,Task 001 of Airport Expansion Project 010,Pending,Grace,32,1577,4850,0.1,,8,33,Designer,2.39,0,06/06/2024,0.58,Medium
P010,Airport Expansion Project 010,Other,Ohio,14/02/2024,08/06/2024,On Track,High,T002,Task 002 of Airport Expansion Project 010,Pending,Alice,16,3110,0,0.7,T001,3,11,Project Manager,0.13,1,01/06/2024,0.23,Low
P010,Airport Expansion Project 010,Other,Ohio,14/02/2024,26/05/2024,On Track,Low,T003,Task 003 of Airport Expansion Project 010,Pending,Charlie,11,3432,0,0.6,T002,8,13,Developer,0.31,0,14/05/2024,0.12,Low
P011,Shopping Mall Renovation Project 011,Renovation,Texas,08/05/2024,28/07/2024,Completed,High,T001,Task 001 of Shopping Mall Renovation Project 011,In Progress,Eve,15,3544,0,0.64,,4,19,Designer,2.47,0,14/07/2024,0.14,Low
P011,Shopping Mall Renovation Project 011,Renovation,Georgia,08/05/2024,19/08/2024,Completed,High,T002,Task 002 of Shopping Mall Renovation Project 011,In Progress,Eve,40,7808,0,0.44,T001,2,50,Designer,2.25,0,18/08/2024,0.12,Low
P011,Shopping Mall Renovation Project 011,Renovation,Florida,08/05/2024,01/08/2024,Completed,High,T003,Task 003 of Shopping Mall Renovation Project 011,Pending,Alice,1,1776,0,0.02,T002,3,1,Project Manager,0.37,1,21/07/2024,0.13,Low
P012,University Dormitory Construction Project 012,Construction,Georgia,27/01/2024,29/02/2024,Completed,High,T001,Task 001 of University Dormitory Construction Project 012,Completed,Frank,15,1815,1679,1.0,,2,16,Designer,1.47,1,15/02/2024,0.05,Low
P012,University Dormitory Construction Project 012,Construction,Ohio,27/01/2024,29/02/2024,Completed,High,T002,Task 002 of University Dormitory Construction Project 012,Completed,Bob,40,8915,8464,1.0,,1,55,Developer,2.26,1,16/02/2024,0.07,Low
P012,University Dormitory Construction Project 012,Construction,New York,27/01/2024,27/06/2025,Completed,Medium,T003,Task 003 of University Dormitory Construction Project 012,Pending,Alice,18,9242,0,0.98,T002,2,17,Project Manager,1.81,1,14/06/2025,0.08,Low
P013,Sports Stadium Upgrade Project 013,Other,Florida,09/02/2024,24/08/2024,On Hold,Medium,T001,Task 001 of Sports Stadium Upgrade Project 013,Completed,Alice,12,9559,9379,1.0,,6,10,Project Manager,3.45,0,23/08/2024,0.64,High
P013,Sports Stadium Upgrade Project 013,Other,Michigan,09/02/2024,06/07/2024,On Hold,Medium,T002,Task 002 of Sports Stadium Upgrade Project 013,In Progress,Bob,38,4795,0,0.28,,4,30,Developer,3.46,1,26/06/2024,0.55,Medium
P013,Sports Stadium Upgrade Project 013,Other,California,09/02/2024,28/07/2024,On Hold,Medium,T003,Task 003 of Sports Stadium Upgrade Project 013,In Progress,Alice,6,5258,0,0.55,T002,6,7,Project Manager,3.89,2,15/07/2024,0.62,High
P014,Public Library Renovation Project 014,Renovation,Ohio,30/07/2024,20/12/2024,Behind,Low,T001,Task 001 of Public Library Renovation Project 014,In Progress,Grace,31,8531,0,0.1,,5,32,Designer,4.16,2,08/12/2024,1.0,Critical
P014,Public Library Renovation Project 014,Renovation,Ohio,30/07/2024,30/01/2025,Behind,Low,T002,Task 002 of Public Library Renovation Project 014,Pending,Charlie,8,3564,0,0.82,T001,9,9,Developer,7.25,5,26/01/2025,1.0,Critical
P014,Public Library Renovation Project 014,Renovation,New Jersey,30/07/2024,29/12/2024,Behind,Medium,T003,Task 003 of Public Library Renovation Project 014,Pending,Charlie,6,6213,0,0.22,T002,6,4,Developer,4.87,3,16/12/2024,0.77,High
P015,Building a Park Project 015,Other,Georgia,17/03/2024,19/04/2024,On Hold,High,T001,Task 001 of Building a Park Project 015,Completed,Ivy,8,4714,4608,1.0,,7,5,QA Engineer,3.76,1,08/04/2024,0.42,Medium
P015,Building a Park Project 015,Other,New Jersey,17/03/2024,19/04/2024,On Hold,Medium,T002,Task 002 of Building a Park Project 015,Completed,Charlie,4,1026,528,1.0,T001,6,4,Developer,1.92,0,06/04/2024,0.51,Medium
P015,Building a Park Project 015,Other,North Carolina,17/03/2024,19/04/2024,On Hold,High,T003,Task 003 of Building a Park Project 015,Completed,Bob,22,5365,5232,1.0,T002,2,21,Developer,3.78,1,09/04/2024,0.49,Medium
P016,Renovation of a School Project 016,Renovation,Georgia,18/02/2024,25/09/2024,Completed,Medium,T001,Task 001 of Renovation of a School Project 016,Completed,Bob,5,3688,3610,1.0,,6,5,Developer,0.49,1,24/09/2024,0.05,Low
P016,Renovation of a School Project 016,Renovation,Texas,18/02/2024,22/10/2024,Completed,High,T002,Task 002 of Renovation of a School Project 016,Pending,Eve,27,3233,0,0.38,T001,1,34,Designer,1.49,1,17/10/2024,0.18,Low
P016,Renovation of a School Project 016,Renovation,Florida,18/02/2024,15/09/2024,Completed,Medium,T003,Task 003 of Renovation of a School Project 016,Pending,Eve,25,8366,0,0.55,T002,1,24,Designer,2.1,0,09/09/2024,0.1,Low
P017,Innovation of a Classroom Project 017,Innovation,Virginia,02/04/2024,25/10/2024,On Track,Low,T001,Task 001 of Innovation of a Classroom Project 017,Pending,Eve,40,1856,0,0.87,,4,52,Designer,1.71,1,14/10/2024,0.14,Low
P017,Innovation of a Classroom Project 017,Innovation,Illinois,02/04/2024,23/09/2024,On Track,High,T002,Task 002 of Innovation of a Classroom Project 017,Completed,Charlie,34,5620,5481,1.0,T001,5,43,Developer,0.33,0,15/09/2024,0.34,Medium
P017,Innovation of a Classroom Project 017,Innovation,Georgia,02/04/2024,14/10/2024,On Track,High,T003,Task 003 of Innovation of a Classroom Project 017,In Progress,Alice,18,1904,0,0.62,T002,2,15,Project Manager,1.4,1,02/10/2024,0.13,Low
P018,Construction of a Hospital Wing Project 018,Construction,Ohio,09/02/2024,05/03/2024,Behind,Medium,T001,Task 001 of Construction of a Hospital Wing Project 018,In Progress,Grace,26,5908,0,0.66,,10,35,Designer,8.0,5,24/02/2024,0.92,Critical
P018,Construction of a Hospital Wing Project 018,Construction,North Carolina,09/02/2024,01/03/2024,Behind,Medium,T002,Task 002 of Construction of a Hospital Wing Project 018,In Progress,Grace,37,2176,0,0.54,T001,4,36,Designer,7.69,5,23/02/2024,1.0,Critical
P018,Construction of a Hospital Wing Project 018,Construction,Pennsylvania,09/02/2024,25/02/2024,Behind,Medium,T003,Task 003 of Construction of a Hospital Wing Project 018,Pending,Grace,7,9002,0,0.2,T002,9,6,Designer,5.1,5,14/02/2024,1.0,Critical
P019,Road Expansion Project 019,Infrastructure,Texas,10/06/2024,30/12/2024,Behind,High,T001,Task 001 of Road Expansion Project 019,Pending,Grace,11,6821,0,0.61,,1,11,Designer,7.23,2,20/12/2024,0.92,Critical
P019,Road Expansion Project 019,Infrastructure,Ohio,10/06/2024,25/09/2024,Behind,Medium,T002,Task 002 of Road Expansion Project 019,Completed,Ivy,1,7324,7263,1.0,,5,1,QA Engineer,3.61,5,20/09/2024,0.64,High
P019,Road Expansion Project 019,Infrastructure,Georgia,10/06/2024,24/12/2024,Behind,Medium,T003,Task 003 of Road Expansion Project 019,Pending,Charlie,13,3099,0,0.46,T002,3,18,Developer,3.08,5,20/12/2024,0.81,Critical
P020,Bridge Maintenance Project 020,Maintenance,Michigan,10/04/2024,03/07/2024,Completed,Medium,T001,Task 001 of Bridge Maintenance Project 020,Completed,Eve,18,7962,7526,1.0,,2,21,Designer,0.47,0,19/06/2024,0.1,Low
P020,Bridge Maintenance Project 020,Maintenance,California,10/04/2024,02/08/2024,Completed,High,T002,Task 002 of Bridge Maintenance Project 020,In Progress,Grace,36,7221,0,0.84,T001,7,25,Designer,0.32,0,28/07/2024,0.04,Low
P020,Bridge Maintenance Project 020,Maintenance,Michigan,10/04/2024,02/07/2024,Completed,High,T003,Task 003 of Bridge Maintenance Project 020,Pending,Grace,24,7256,0,0.11,T002,8,22,Designer,1.08,0,29/06/2024,0.18,Low
P021,Office Building Renovation Project 021,Renovation,North Carolina,21/03/2024,15/12/2024,Behind,High,T001,Task 001 of Office Building Renovation Project 021,In Progress,Alice,26,8483,0,0.43,,6,25,Project Manager,3.03,4,13/12/2024,0.76,High
P021,Office Building Renovation Project 021,Renovation,Michigan,21/03/2024,25/09/2024,Behind,High,T002,Task 002 of Office Building Renovation Project 021,Completed,Frank,21,2463,2091,1.0,T001,2,23,Designer,5.91,5,22/09/2024,0.92,Critical
P021,Office Building Renovation Project 021,Renovation,Georgia,21/03/2024,20/09/2024,Behind,High,T003,Task 003 of Office Building Renovation Project 021,Completed,Ivy,15,8372,7940,1.0,T002,8,14,QA Engineer,5.91,3,07/09/2024,0.82,Critical
P022,Apartment Complex Development Project 022,Other,Michigan,09/01/2024,11/04/2024,On Track,High,T001,Task 001 of Apartment Complex Development Project 022,In Progress,Ivy,6,8903,0,0.68,,7,7,QA Engineer,0.52,1,05/04/2024,0.25,Low
P022,Apartment Complex Development Project 022,Other,California,09/01/2024,28/04/2024,On Track,Medium,T002,Task 002 of Apartment Complex Development Project 022,In Progress,Grace,7,1255,0,0.28,T001,1,6,Designer,1.08,1,19/04/2024,0.41,Medium
P022,Apartment Complex Development Project 022,Other,Virginia,09/01/2024,24/04/2024,On Track,High,T003,Task 003 of Apartment Complex Development Project 022,In Progress,Ivy,18,1424,2183,0.77,T002,9,18,QA Engineer,2.24,0,15/04/2024,0.4,Medium
P023,Commercial Center Construction Project 023,Construction,Virginia,04/01/2024,18/05/2024,Behind,High,T001,Task 001 of Commercial Center Construction Project 023,Pending,Alice,17,3662,0,0.45,,10,20,Project Manager,6.39,2,06/05/2024,0.8,High
P023,Commercial Center Construction Project 023,Construction,North Carolina,04/01/2024,01/06/2024,Behind,Medium,T002,Task 002 of Commercial Center Construction Project 023,Pending,Charlie,27,2437,0,0.02,T001,2,27,Developer,6.03,3,25/05/2024,0.94,Critical
P023,Commercial Center Construction Project 023,Construction,Illinois,04/01/2024,10/04/2024,Behind,Low,T003,Task 003 of Commercial Center Construction Project 023,In Progress,Charlie,19,7519,0,0.45,T002,3,24,Developer,6.49,4,28/03/2024,1.0,Critical
P024,Highway Reconstruction Project 024,Other,Illinois,16/08/2024,29/08/2024,Completed,Medium,T001,Task 001 of Highway Reconstruction Project 024,In Progress,Charlie,1,5955,0,0.05,,3,1,Developer,1.93,1,15/08/2024,0.05,Low
P024,Highway Reconstruction Project 024,Other,Florida,16/08/2024,04/09/2024,Completed,Low,T002,Task 002 of Highway Reconstruction Project 024,Pending,Ivy,1,1799,0,0.75,T001,3,1,QA Engineer,0.45,0,25/08/2024,0.15,Low
P024,Highway Reconstruction Project 024,Other,Michigan,16/08/2024,01/09/2024,Completed,Medium,T003,Task 003 of Highway Reconstruction Project 024,Completed,Eve,24,8925,8659,1.0,T002,3,33,Designer,1.88,1,19/08/2024,0.11,Low
P025,Airport Expansion Project 025,Other,Washington,05/05/2024,20/07/2024,On Hold,High,T001,Task 001 of Airport Expansion Project 025,Completed,Alice,37,8938,8487,1.0,,10,41,Project Manager,1.09,1,19/07/2024,0.66,High
P025,Airport Expansion Project 025,Other,New Jersey,05/05/2024,17/07/2024,On Hold,Low,T002,Task 002 of Airport Expansion Project 025,In Progress,David,10,8533,0,0.72,T001,7,11,DevOps,1.75,0,06/07/2024,0.66,High
P025,Airport Expansion Project 025,Other,New York,05/05/2024,03/07/2024,On Hold,Medium,T003,Task 003 of Airport Expansion Project 025,In Progress,Charlie,16,8402,0,0.5,T002,3,19,Developer,3.64,0,19/06/2024,0.58,Medium
P026,Shopping Mall Renovation Project 026,Renovation,Pennsylvania,08/07/2024,30/04/2025,On Hold,Low,T001,Task 001 of Shopping Mall Renovation Project 026,In Progress,Eve,21,6524,0,0.1,,10,25,Designer,2.54,2,25/04/2025,0.7,High
P026,Shopping Mall Renovation Project 026,Renovation,Illinois,08/07/2024,10/08/2024,On Hold,Medium,T002,Task 002 of Shopping Mall Renovation Project 026,Completed,Eve,34,8061,8002,1.0,T001,2,42,Designer,1.64,1,30/07/2024,0.51,Medium
P026,Shopping Mall Renovation Project 026,Renovation,Georgia,08/07/2024,06/04/2025,On Hold,High,T003,Task 003 of Shopping Mall Renovation Project 026,Pending,Alice,3,2436,0,0.82,T002,1,3,Project Manager,2.64,1,05/04/2025,0.49,Medium
P027,University Dormitory Construction Project 027,Construction,Michigan,03/01/2024,28/12/2024,Completed,High,T001,Task 001 of University Dormitory Construction Project 027,In Progress,Frank,35,9670,0,0.84,,10,38,Designer,0.81,1,25/12/2024,0.07,Low
P027,University Dormitory Construction Project 027,Construction,Washington,03/01/2024,22/03/2025,Completed,Low,T002,Task 002 of University Dormitory Construction Project 027,In Progress,Bob,7,1646,4190,1.0,T001,3,6,Developer,1.16,0,15/03/2025,0.19,Low
P027,University Dormitory Construction Project 027,Construction,Ohio,03/01/2024,19/01/2025,Completed,Medium,T003,Task 003 of University Dormitory Construction Project 027,In Progress,Alice,30,3853,0,0.19,T002,6,34,Project Manager,0.68,0,09/01/2025,0.01,Low
P028,Sports Stadium Upgrade Project 028,Other,California,25/07/2024,19/01/2025,Behind,Medium,T001,Task 001 of Sports Stadium Upgrade Project 028,Pending,Alice,22,5266,0,0.31,,5,29,Project Manager,7.2,2,12/01/2025,0.73,High
P028,Sports Stadium Upgrade Project 028,Other,California,25/07/2024,28/05/2025,Behind,Medium,T002,Task 002 of Sports Stadium Upgrade Project 028,Pending,Bob,16,4878,0,0.78,T001,9,20,Developer,7.15,3,15/05/2025,1.0,Critical
P028,Sports Stadium Upgrade Project 028,Other,New York,25/07/2024,16/01/2025,Behind,Low,T003,Task 003 of Sports Stadium Upgrade Project 028,Pending,David,23,4589,0,0.98,T002,5,31,DevOps,5.88,3,12/01/2025,1.0,Critical
P029,Public Library Renovation Project 029,Renovation,North Carolina,10/04/2024,13/05/2024,On Track,Low,T001,Task 001 of Public Library Renovation Project 029,Completed,Grace,33,3498,3235,1.0,,8,27,Designer,1.44,0,08/05/2024,0.21,Low
P029,Public Library Renovation Project 029,Renovation,Michigan,10/04/2024,21/12/2024,On Track,High,T002,Task 002 of Public Library Renovation Project 029,Pending,Charlie,30,7342,0,0.15,,9,41,Developer,2.42,0,13/12/2024,0.41,Medium
P029,Public Library Renovation Project 029,Renovation,Virginia,10/04/2024,23/01/2025,On Track,High,T003,Task 003 of Public Library Renovation Project 029,Pending,Charlie,22,3172,0,0.4,,8,20,Developer,0.1,1,20/01/2025,0.18,Low
P030,Building a Park Project 030,Other,Washington,16/07/2024,29/07/2024,On Track,High,T001,Task 001 of Building a Park Project 030,Pending,Ivy,33,8742,0,0.79,,7,43,QA Engineer,1.07,0,26/07/2024,0.11,Low
P030,Building a Park Project 030,Other,Pennsylvania,16/07/2024,29/07/2024,On Track,High,T002,Task 002 of Building a Park Project 030,Pending,Charlie,1,4274,0,0.28,,10,1,Developer,0.16,1,24/07/2024,0.33,Medium
P030,Building a Park Project 030,Other,New York,16/07/2024,29/07/2024,On Track,High,T003,Task 003 of Building a Park Project 030,In Progress,Bob,16,3338,0,0.07,T002,2,19,Developer,0.2,1,24/07/2024,0.36,Medium
P031,Renovation of a School Project 031,Renovation,Illinois,19/03/2024,09/06/2024,On Track,High,T001,Task 001 of Renovation of a School Project 031,In Progress,Bob,2,3147,0,0.45,,7,1,Developer,0.38,0,06/06/2024,0.37,Medium
P031,Renovation of a School Project 031,Renovation,Georgia,19/03/2024,06/06/2024,On Track,High,T002,Task 002 of Renovation of a School Project 031,In Progress,Eve,11,8355,0,0.79,T001,1,8,Designer,1.17,0,30/05/2024,0.3,Medium
P031,Renovation of a School Project 031,Renovation,Georgia,19/03/2024,03/06/2024,On Track,Medium,T003,Task 003 of Renovation of a School Project 031,Completed,Eve,5,4000,3595,1.0,,1,6,Designer,1.26,0,22/05/2024,0.32,Medium
P032,Innovation of a Classroom Project 032,Innovation,New Jersey,02/05/2024,26/02/2025,On Hold,High,T001,Task 001 of Innovation of a Classroom Project 032,In Progress,Eve,12,4133,0,0.54,,9,10,Designer,3.16,2,20/02/2025,0.6,High
P032,Innovation of a Classroom Project 032,Innovation,New York,02/05/2024,16/04/2025,On Hold,Medium,T002,Task 002 of Innovation of a Classroom Project 032,Pending,Charlie,4,8258,0,0.39,T001,7,5,Developer,2.19,1,14/04/2025,0.65,High
P032,Innovation of a Classroom Project 032,Innovation,Washington,02/05/2024,24/03/2025,On Hold,Low,T003,Task 003 of Innovation of a Classroom Project 032,In Progress,David,33,3654,0,0.79,T002,1,31,DevOps,3.72,0,19/03/2025,0.46,Medium
P033,Construction of a Hospital Wing Project 033,Construction,California,15/05/2024,25/09/2024,Behind,Low,T001,Task 001 of Construction of a Hospital Wing Project 033,Completed,David,4,4561,4256,1.0,,8,3,DevOps,5.61,4,20/09/2024,0.9,Critical
P033,Construction of a Hospital Wing Project 033,Construction,Texas,15/05/2024,18/10/2024,Behind,High,T002,Task 002 of Construction of a Hospital Wing Project 033,In Progress,Grace,10,9743,0,0.71,T001,5,8,Designer,4.19,4,16/10/2024,0.93,Critical
P033,Construction of a Hospital Wing Project 033,Construction,New Jersey,15/05/2024,23/09/2024,Behind,High,T003,Task 003 of Construction of a Hospital Wing Project 033,Completed,David,4,7316,7140,1.0,T002,2,4,DevOps,6.2,5,18/09/2024,0.77,High
P034,Road Expansion Project 034,Infrastructure,Florida,13/06/2024,01/09/2024,Behind,High,T001,Task 001 of Road Expansion Project 034,Pending,Grace,14,2342,0,0.47,,10,16,Designer,7.92,3,22/08/2024,0.78,High
P034,Road Expansion Project 034,Infrastructure,Ohio,13/06/2024,17/08/2024,Behind,High,T002,Task 002 of Road Expansion Project 034,Completed,Ivy,22,5899,5436,1.0,T001,10,21,QA Engineer,5.47,2,10/08/2024,1.0,Critical
P034,Road Expansion Project 034,Infrastructure,Pennsylvania,13/06/2024,21/08/2024,Behind,High,T003,Task 003 of Road Expansion Project 034,In Progress,Charlie,32,8314,0,0.68,T002,9,43,Developer,3.21,5,20/08/2024,0.73,High
P035,Bridge Maintenance Project 035,Maintenance,New Jersey,28/06/2024,31/07/2024,On Hold,Medium,T001,Task 001 of Bridge Maintenance Project 035,Completed,Eve,14,7361,7026,1.0,,5,9,Designer,2.3,1,26/07/2024,0.45,Medium
P035,Bridge Maintenance Project 035,Maintenance,Virginia,28/06/2024,31/07/2024,On Hold,Low,T002,Task 002 of Bridge Maintenance Project 035,Completed,Grace,11,6901,6528,1.0,T001,1,11,Designer,3.02,2,18/07/2024,0.56,Medium
P035,Bridge Maintenance Project 035,Maintenance,New Jersey,28/06/2024,26/04/2025,On Hold,High,T003,Task 003 of Bridge Maintenance Project 035,Pending,David,40,5183,0,0.29,T002,6,40,DevOps,2.28,1,16/04/2025,0.61,High
P036,Office Building Renovation Project 036,Renovation,Michigan,26/03/2024,10/07/2024,Behind,High,T001,Task 001 of Office Building Renovation Project 036,In Progress,Alice,8,1220,0,0.79,,9,8,Project Manager,6.11,3,05/07/2024,0.92,Critical
P036,Office Building Renovation Project 036,Renovation,Georgia,26/03/2024,29/07/2024,Behind,Medium,T002,Task 002 of Office Building Renovation Project 036,Pending,Frank,16,6005,0,0.64,T001,5,19,Designer,4.52,4,26/07/2024,0.83,Critical
P036,Office Building Renovation Project 036,Renovation,California,26/03/2024,28/06/2024,Behind,High,T003,Task 003 of Office Building Renovation Project 036,Completed,Ivy,32,3891,3841,1.0,T002,4,26,QA Engineer,6.72,4,24/06/2024,1.0,Critical
P037,Apartment Complex Development Project 037,Other,Virginia,16/01/2024,31/07/2024,Behind,Medium,T001,Task 001 of Apartment Complex Development Project 037,In Progress,Ivy,12,9160,0,0.09,,6,13,QA Engineer,5.01,3,26/07/2024,1.0,Critical
P037,Apartment Complex Development Project 037,Other,Pennsylvania,16/01/2024,25/05/2024,Behind,High,T002,Task 002 of Apartment Complex Development Project 037,Completed,Grace,15,1719,1494,1.0,T001,5,13,Designer,6.75,3,12/05/2024,0.95,Critical
P037,Apartment Complex Development Project 037,Other,Illinois,16/01/2024,13/06/2024,Behind,High,T003,Task 003 of Apartment Complex Development Project 037,Pending,Ivy,2,5180,0,0.33,,5,1,QA Engineer,7.24,3,30/05/2024,0.8,High
P038,Commercial Center Construction Project 038,Construction,Texas,15/01/2024,01/03/2024,Behind,Medium,T001,Task 001 of Commercial Center Construction Project 038,Pending,Alice,14,8804,0,0.93,,2,15,Project Manager,6.72,2,29/02/2024,0.81,Critical
P038,Commercial Center Construction Project 038,Construction,Michigan,15/01/2024,19/03/2024,Behind,Low,T002,Task 002 of Commercial Center Construction Project 038,Completed,Charlie,38,8552,8463,1.0,T001,8,36,Developer,4.11,2,07/03/2024,0.84,Critical
